[run number],spawn-prob-all,complete
6,0.01,156
4,0.01,182
3,0.01,178
8,0.01,193
5,0.01,198
7,0.01,184
1,0.01,184
2,0.01,188
10,0.01,167
11,0.01,155
9,0.01,184
12,0.01,181
14,0.01,176
13,0.01,191
15,0.01,207
16,0.01,160
17,0.01,163
19,0.01,171
20,0.01,165
18,0.01,175
22,0.01,167
21,0.01,187
23,0.01,182
24,0.01,161
25,0.01,186
27,0.01,168
28,0.01,175
26,0.01,200
29,0.01,176
30,0.01,167
31,0.01,173
32,0.01,174
33,0.01,163
35,0.01,170
34,0.01,187
36,0.01,196
38,0.01,171
37,0.01,197
39,0.01,185
40,0.01,157
41,0.01,175
42,0.01,195
43,0.01,176
44,0.01,183
46,0.01,177
47,0.01,162
45,0.01,181
49,0.01,185
50,0.01,192
48,0.01,196
51,0.02,285
52,0.02,339
55,0.02,316
53,0.02,338
54,0.02,332
56,0.02,319
57,0.02,327
58,0.02,317
59,0.02,332
60,0.02,330
61,0.02,335
62,0.02,334
63,0.02,317
64,0.02,320
65,0.02,325
67,0.02,329
66,0.02,371
68,0.02,329
69,0.02,324
70,0.02,302
71,0.02,329
72,0.02,327
73,0.02,361
74,0.02,322
75,0.02,329
76,0.02,301
78,0.02,324
77,0.02,337
79,0.02,332
80,0.02,319
81,0.02,338
82,0.02,295
84,0.02,334
83,0.02,304
85,0.02,349
86,0.02,340
87,0.02,346
88,0.02,323
89,0.02,330
90,0.02,346
91,0.02,358
93,0.02,332
92,0.02,348
94,0.02,347
95,0.02,312
96,0.02,296
97,0.02,344
98,0.02,334
99,0.02,320
100,0.02,367
102,0.03,449
101,0.03,450
103,0.03,426
104,0.03,455
105,0.03,426
106,0.03,440
107,0.03,417
108,0.03,445
111,0.03,422
109,0.03,455
110,0.03,446
113,0.03,439
112,0.03,453
114,0.03,442
115,0.03,454
116,0.03,459
118,0.03,415
117,0.03,450
119,0.03,436
120,0.03,432
121,0.03,461
122,0.03,431
123,0.03,452
124,0.03,450
125,0.03,455
126,0.03,426
128,0.03,430
127,0.03,450
129,0.03,426
130,0.03,442
131,0.03,439
132,0.03,465
133,0.03,465
134,0.03,450
135,0.03,452
137,0.03,440
136,0.03,450
138,0.03,455
139,0.03,433
140,0.03,453
141,0.03,459
142,0.03,444
143,0.03,436
144,0.03,448
145,0.03,461
146,0.03,454
147,0.03,465
148,0.03,461
149,0.03,440
150,0.03,448
151,0.04,501
152,0.04,492
154,0.04,497
153,0.04,499
155,0.04,501
156,0.04,497
157,0.04,485
158,0.04,486
159,0.04,499
160,0.04,504
161,0.04,488
162,0.04,498
163,0.04,489
164,0.04,484
165,0.04,488
166,0.04,493
167,0.04,496
168,0.04,489
169,0.04,495
171,0.04,485
170,0.04,484
172,0.04,494
173,0.04,493
174,0.04,473
175,0.04,497
177,0.04,483
176,0.04,501
178,0.04,489
179,0.04,495
180,0.04,500
181,0.04,487
182,0.04,510
183,0.04,496
184,0.04,495
185,0.04,492
186,0.04,480
187,0.04,491
189,0.04,498
188,0.04,503
190,0.04,491
191,0.04,494
192,0.04,491
193,0.04,488
194,0.04,506
195,0.04,478
197,0.04,503
196,0.04,496
198,0.04,494
199,0.04,494
200,0.04,500